"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Bird Island","BI10","BI10.01","ACE_ITRAX_2",0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,NA,-7.32380308121599,NA,-7.41081445820563,-1.86848196585829,NA,NA,NA,-3.76015621691188,-1.9125291223885,41757,6.770189802754,0.147706346370558
"Bird Island","BI10","BI10.01","ACE_ITRAX_3",0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,NA,-6.30696626692327,-8.55071085989442,-7.03088510614997,-1.7411986288012,NA,-7.27774518408151,NA,-4.03515283259598,-1.92475025624276,41474,6.85343684908161,0.145912192965491
"Bird Island","BI10","BI10.01","ACE_ITRAX_4",0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,NA,-7.16750624163915,NA,-8.01480410202636,-1.82329405485013,-6.91619181335824,NA,NA,-3.75447440232999,-1.89468985003259,41764,6.6504854368932,0.15036496350365
"Bird Island","BI10","BI10.01","ACE_ITRAX_5",0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,-7.23136739987376,-6.44966682197236,-6.65600325497018,-8.32997968854187,-1.69461656344352,NA,NA,-5.87324391572055,-4.0958731839446,-1.87863199640546,43019,6.54454577341284,0.152798992416325
"Bird Island","BI10","BI10.01","ACE_ITRAX_6",0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,-8.44685119598502,-6.5750490190834,-6.97094467617541,-7.53056046411083,-1.97431172076293,NA,NA,-7.09230553317968,-4.1563917548366,-1.91288068850804,42788,6.77257039055404,0.147654426950621
"Bird Island","BI10","BI10.01","ACE_ITRAX_7",0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,-7.42200979996389,-6.79630390019948,NA,-7.33862819102484,-2.17315673781023,NA,-8.94806610345898,NA,-3.76965903358345,-1.93559051370639,44017,6.92813400576369,0.144339009489146
"Bird Island","BI10","BI10.01","ACE_ITRAX_8",0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,NA,-7.50556727942527,NA,-7.76339638872736,-2.26406079353093,-6.64536601420214,NA,NA,-3.90328606451362,-1.91593807237486,45887,6.79330842391304,0.147203680092002
"Bird Island","BI10","BI10.01","ACE_ITRAX_9",0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,-8.02888144830181,-6.78716831599302,-8.02888144830181,-7.06747028114718,-1.91860875012219,NA,-6.11649399128513,NA,-3.84389961197477,-1.96277335819806,45491,7.11904336962342,0.14046831127156
"Bird Island","BI10","BI10.01","ACE_ITRAX_10",0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,-7.92272712604507,-6.45091059148702,-7.56605218210635,NA,-2.01076971576858,NA,NA,-5.68658713245918,-3.72767571684649,-1.90031777508766,44406,6.68801939058172,0.149521097592545
"Bird Island","BI10","BI10.01","ACE_ITRAX_11",1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,NA,-7.11156309398961,-6.8884195426754,NA,-2.13677089030858,NA,-5.99233151811876,NA,-3.72611406929559,-1.96116585751819,44754,7.10760869565217,0.140694295763878
"Bird Island","BI10","BI10.01","ACE_ITRAX_12",1.1,1.1,1.1,-47.7,7.5,1,TRUE,22141,55665,1.32,-8.31026741812487,-7.21165512945676,-9.00341459868486,-8.41562793378269,-1.92895914381167,NA,-6.33618639210285,-6.72103221300828,-3.99011618716907,-1.94156578436527,46487,6.96965540888051,0.143479116446106
"Bird Island","BI10","BI10.01","ACE_ITRAX_13",1.2,1.2,1.2,-46.1,7.49,1,TRUE,21695,54611,1.33,NA,-7.33928791396515,NA,-7.60165217843263,-1.9916310835909,NA,-6.32071833297057,NA,-3.75044131240124,-1.93073730740204,45836,6.89459180158457,0.145041219085686
"Bird Island","BI10","BI10.01","ACE_ITRAX_14",1.3,1.3,1.3,-44.6,7.51,1,TRUE,21725,55614,1.37,-8.64849710505043,-6.72320624319783,NA,-6.93084560797608,-1.81623537307225,NA,-8.19651198130736,NA,-3.97968165390196,-1.90024011222212,45879,6.6875,0.149532710280374
"Bird Island","BI10","BI10.01","ACE_ITRAX_15",1.4,1.4,1.4,-43,7.51,1,TRUE,21319,54727,1.34,-8.09040229659335,-6.5148659358349,-7.24310443620612,-7.27947208037699,-1.81894138657835,NA,-7.14132174189618,NA,-3.93543311255479,-1.89684760736896,45031,6.66485106382979,0.150040862192257
"Bird Island","BI10","BI10.01","ACE_ITRAX_16",1.5,1.5,1.5,-41.4,7.54,1,TRUE,21311,56074,1.33,-8.01382685733323,-6.57144302956229,-8.96933830236069,-7.93971888517952,-1.58286745353077,NA,NA,-6.24804287450843,-3.83825685518854,-1.91506137071576,45081,6.78735532907238,0.147332790389901
"Bird Island","BI10","BI10.01","ACE_ITRAX_17",1.6,1.6,1.6,-39.8,7.57,1,TRUE,21163,53422,1.35,NA,-6.93244789157251,NA,NA,-1.87118619207641,NA,-5.76601300656564,NA,-4.17477245318344,-1.93097727212582,44598,6.89624645892351,0.145006418485237
"Bird Island","BI10","BI10.01","ACE_ITRAX_18",1.7,1.7,1.7,-38.3,7.58,1,TRUE,21090,53056,1.38,-7.8078912220996,-7.11474404153965,-7.8078912220996,-7.69010818644321,-1.98060138630453,-8.18258467154102,NA,NA,-3.86267524931568,-1.96036921891645,44901,7.10194875496211,0.140806422927412
"Bird Island","BI10","BI10.01","ACE_ITRAX_19",1.8,1.8,1.8,-36.7,7.59,1,TRUE,21093,53106,1.42,-7.74431501930012,-6.79333872943807,-7.48648590999803,NA,-2.12008517634587,NA,NA,NA,-3.81943385892861,-1.93758670668105,44896,6.94197771094994,0.144051168361236
"Bird Island","BI10","BI10.01","ACE_ITRAX_20",1.9,1.9,1.9,-35.1,7.58,1,TRUE,21223,52649,1.34,NA,-6.96999385998661,NA,-7.74769842857464,-2.13499978321956,NA,-7.58517949907685,NA,-3.85467837027209,-1.93251489559925,45077,6.90685844588669,0.144783624542869
"Bird Island","BI10","BI10.01","ACE_ITRAX_21",2,2,2,-33.6,7.58,1,TRUE,21729,54454,1.27,NA,-6.58225175637608,-8.51014339992872,-7.64514596244211,-1.91572994017893,NA,NA,NA,-3.82109172995992,-1.91538800138265,45569,6.78957264957265,0.147284674840756
"Bird Island","BI10","BI10.01","ACE_ITRAX_22",2.1,2.1,2.1,-32,7.58,1,TRUE,22073,55695,1.32,NA,-6.68142036617694,-7.90519579779907,-8.82148652967323,-1.95143311787509,NA,NA,-5.33513133967075,-4.03399478689117,-1.92918335525,46578,6.88388625592417,0.14526678141136
"Bird Island","BI10","BI10.01","ACE_ITRAX_23",2.2,2.2,2.2,-30.4,7.59,1,TRUE,22172,55100,1.34,-7.83693755664755,-6.65828256030588,NA,-7.14379037608759,-2.00304097999231,NA,-6.97194011916092,NA,-3.9451172585369,-1.91435428011125,46493,6.78255775025109,0.147437004861917
"Bird Island","BI10","BI10.01","ACE_ITRAX_24",2.3,2.3,2.3,-28.8,7.61,1,TRUE,22196,55101,1.28,NA,-7.1637531671673,-8.14458242017905,-7.07414100847761,-2.0487578577468,NA,-6.64050502340274,NA,-4.18376925058144,-1.97166474881104,47091,7.18262380538662,0.139224888716857
"Bird Island","BI10","BI10.01","ACE_ITRAX_25",2.4,2.4,2.4,-27.2,7.62,1,TRUE,22616,55584,1.38,-7.08983170769545,-6.70416922688346,-7.84360351007184,-6.85499211661804,-2.01981824302092,NA,NA,NA,-4.05092726227624,-1.86550919752701,47105,6.45922406967538,0.154817357195391
"Bird Island","BI10","BI10.01","ACE_ITRAX_26",2.5,2.5,2.5,-25.7,7.62,1,TRUE,22901,57742,1.36,NA,-7.55825588482061,NA,NA,-1.98075839426816,NA,-8.01024100856369,NA,-3.8480153037073,-1.90976191561925,48408,6.75148118494796,0.148115646419847
"Bird Island","BI10","BI10.01","ACE_ITRAX_27",2.6,2.6,2.6,-24.1,7.63,1,TRUE,22895,57183,1.42,-9.03990785957468,-6.9857841258791,NA,-7.06582683355264,-2.00182631891693,NA,NA,NA,-3.99133472613799,-1.95568143747673,48130,7.06873428331936,0.141468042215107
"Bird Island","BI10","BI10.01","ACE_ITRAX_28",2.7,2.7,2.7,-22.5,7.65,1,TRUE,23449,58191,1.24,NA,-6.63290283446578,-7.7315151231339,-6.84731270581123,-2.04990650597201,NA,NA,NA,-3.97891985463385,-1.93035124989738,49585,6.89193060639822,0.145097224146691
"Bird Island","BI10","BI10.01","ACE_ITRAX_29",2.8,2.8,2.8,-20.9,7.66,1,TRUE,23788,60176,1.32,-8.03537143092084,-6.63137749270154,-7.6786964869821,-6.39776264152004,-1.8335591364447,NA,NA,NA,-3.87425869223389,-1.91084435108596,49633,6.75879318430514,0.147955407530761
"Bird Island","BI10","BI10.01","ACE_ITRAX_30",2.9,2.9,2.9,-19.4,7.68,1,TRUE,23421,58991,1.42,-8.70563881491817,-6.28210111150644,-7.65581669041947,-7.94349876287128,-1.84362834191948,NA,-6.12976038692443,NA,-3.8348130833785,-1.9080173303465,48528,6.73971291866029,0.148374272327133
"Bird Island","BI10","BI10.01","ACE_ITRAX_31",3,3,3,-17.8,7.67,1,TRUE,23170,57641,1.33,NA,-6.59862646980597,NA,-7.5680270269941,-2.05624920296872,NA,NA,NA,-3.80366068174247,-1.92001355752167,48819,6.82105094520987,0.146604974516758
"Bird Island","BI10","BI10.01","ACE_ITRAX_32",3.1,3.1,3.1,-16.2,7.66,1,TRUE,23818,60935,1.27,-5.49730636274018,-5.34155183333095,-5.65520939218599,-5.9254997219259,-1.80338346840365,NA,NA,NA,-3.85580379067658,-1.91910741805498,49812,6.81487292124255,0.14673787927621
"Bird Island","BI10","BI10.01","ACE_ITRAX_33",3.2,3.2,3.2,-14.6,7.65,1,TRUE,24827,63214,1.23,-6.04884306250997,-6.22364578688989,-6.44960227958072,-6.63474471271632,-1.86463480091015,NA,-6.30556290935778,-6.16898737435203,-4.02143987920347,-1.87445579261433,51794,6.51727140783745,0.153438446463567
"Bird Island","BI10","BI10.01","ACE_ITRAX_34",3.3,3.3,3.3,-13,7.65,1,TRUE,24712,61223,1.35,-7.61952346207841,-6.42010647428832,NA,-8.63112437375692,-2.06181828428017,NA,NA,NA,-4.01848217293009,-1.91135667319532,51456,6.76225675064112,0.147879626118188
"Bird Island","BI10","BI10.01","ACE_ITRAX_35",3.4,3.4,3.4,-11.5,7.67,1,TRUE,23758,58939,1.19,-7.85353627848212,-6.25593282369502,NA,-6.9978701684244,-2.07333757338155,NA,NA,NA,-4.03776507251356,-1.9538000982419,49976,7.05544809800129,0.141734442109111
"Bird Island","BI10","BI10.01","ACE_ITRAX_36",3.5,3.5,3.5,-9.9,7.68,1,TRUE,23605,61215,1.35,-7.3027984507959,-5.99726544632046,-6.48043953875594,-7.41199774276089,-1.60154791442407,NA,-6.0066551866703,NA,-3.94746448592692,-1.94832892363736,49184,7.01695191524042,0.142512021185161
"Bird Island","BI10","BI10.01","ACE_ITRAX_37",3.6,3.6,3.6,-8.3,7.69,1,TRUE,24367,64087,1.31,-7.38782382730837,-6.00152946618848,-6.77163768788456,-6.40699457429664,-1.48387583527603,NA,-7.59261823995439,NA,-3.81985730185974,-1.9021052347663,50150,6.69998464609243,0.149254073378097
"Bird Island","BI10","BI10.01","ACE_ITRAX_38",3.7,3.7,3.7,-6.7,7.69,1,TRUE,24164,60214,1.58,-7.47990927687281,-7.08786718909679,NA,-6.69145191650853,-1.99064102683276,NA,-5.87850353613597,NA,-3.86575336895481,-1.92586500911454,50759,6.8610809973672,0.145749627556318
"Bird Island","BI10","BI10.01","ACE_ITRAX_39",3.8,3.8,3.8,-5.1,7.69,1,TRUE,23726,58135,1.31,NA,-7.36037656396808,-8.4953564968071,-6.84243347243323,-2.22541881633261,NA,NA,NA,-3.73603563099171,-1.97867044564936,50115,7.23311976343026,0.138252929953666
"Bird Island","BI10","BI10.01","ACE_ITRAX_40",3.9,3.9,3.9,-3.5,7.68,1,TRUE,23359,57116,1.28,-8.04051591426639,-6.80837223297374,-6.96600117717733,-7.31227741389517,-2.42843110479088,NA,-7.34736873370645,NA,-3.93081369638996,-1.90325178743168,49938,6.70767093687297,0.149083043788398
"Bird Island","BI10","BI10.01","ACE_ITRAX_41",4,4,4,-1.9,7.65,1,TRUE,24215,60269,1.22,NA,-7.08117770660275,-8.41617877333509,-6.95756375063557,-2.29632101145871,NA,-8.77285371727384,NA,-3.71660791192551,-1.92348449613456,51799,6.84476752991065,0.14609699973449
"Bird Island","BI10","BI10.01","ACE_ITRAX_42",4.1,4.1,4.1,-0.4,7.63,1,TRUE,24962,62359,1.43,-8.16863903063328,-6.76329647454269,-7.4377515220905,-6.80176275537049,-2.0208284131346,NA,NA,NA,-4.01699361457383,-1.90935177074817,52668,6.74871266735324,0.148176407752175
"Bird Island","BI10","BI10.01","ACE_ITRAX_43",4.2,4.2,4.2,1.2,7.63,1,TRUE,24893,61204,1.26,-9.33372988415308,-7.13650530681686,-7.67550180754955,-6.44335812625692,-2.10298571888702,NA,NA,NA,-3.93556718263533,-1.92747463109559,51838,6.87213363705391,0.14551521446092
