"Site","depth","SH20_age","Ti","Ti_ppm","Ti_lower_RMSE","Ti_upper_RMSE"
"BI10",0.1,-63.4,NA,NA,NA,NA
"BI10",0.2,-61.7,-8.55071085989442,194.615092616765,124.812638878285,303.455119726833
"BI10",0.3,-60.1,NA,NA,NA,NA
"BI10",0.4,-58.6,-6.65600325497018,692.61744487556,444.196849615798,1079.96921941449
"BI10",0.5,-57,-6.97094467617541,560.857614639927,359.69522187078,874.521663822921
"BI10",0.6,-55.5,NA,NA,NA,NA
"BI10",0.7,-53.9,NA,NA,NA,NA
"BI10",0.8,-52.4,-8.02888144830181,276.068612168997,177.051283808346,430.462163196828
"BI10",0.9,-50.8,-7.56605218210635,376.434867651334,241.419247426413,586.959039489468
"BI10",1,-49.3,-6.8884195426754,592.741809118175,380.143535502729,924.23734580162
"BI10",1.1,-47.7,-9.00341459868486,143.697762004337,92.1577902078907,224.061869956676
"BI10",1.2,-46.1,NA,NA,NA,NA
"BI10",1.3,-44.6,NA,NA,NA,NA
"BI10",1.4,-43,-7.24310443620612,467.369435674177,299.738380067055,728.749482643939
"BI10",1.5,-41.4,-8.96933830236069,147.016281245584,94.2860585662138,229.236297284629
"BI10",1.6,-39.8,NA,NA,NA,NA
"BI10",1.7,-38.3,-7.8078912220996,320.125427902915,205.306273482518,499.158100976155
"BI10",1.8,-36.7,-7.48648590999803,397.046912138316,254.638384906993,619.098532596145
"BI10",1.9,-35.1,NA,NA,NA,NA
"BI10",2,-33.6,-8.51014339992872,199.977312386862,128.25159518302,311.81620324023
"BI10",2.1,-32,-7.90519579779907,299.920912672034,192.348497036121,467.654051079659
"BI10",2.2,-30.4,NA,NA,NA,NA
"BI10",2.3,-28.8,-8.14458242017905,255.476333833798,163.844822968264,398.35349061838
"BI10",2.4,-27.2,-7.84360351007184,312.556623590416,200.452166708504,487.356383093148
"BI10",2.5,-25.7,NA,NA,NA,NA
"BI10",2.6,-24.1,NA,NA,NA,NA
"BI10",2.7,-22.5,-7.7315151231339,336.933259428484,216.085652298008,525.365844986963
"BI10",2.8,-20.9,-7.6786964869821,349.070306681081,223.869513638969,544.290631742426
