"Site","depth","SH20_age","Ti","Ca","Sr","Ti_convert_WLS","Ti_ppm_WLS","Ti_lower_RMSE_WLS","Ti_upper_RMSE_WLS","Ti_convert_PLS","Ti_ppm_PLS","Ti_lower_RMSE_PLS","Ti_upper_RMSE_PLS"
"HER42PB",1.1,-51.51,-5.909350251,-4.430780614,-4.117590782,6.98164182932,1076.68464905738,694.395601666177,1669.43717779065,4.56309965011353,95.8802148239203,51.5744992688126,178.247306808855
"HER42PB",1.2,-50.47,-5.473339621,-4.157662827,-3.651727188,7.27812905772,1448.27584822485,934.049147897798,2245.60231897018,4.27664731744552,71.9986462996474,38.7284711215547,133.849979585087
"HER42PB",1.3,-49.42,-5.379784028,-4.273008429,-3.800298438,7.34174686096,1543.40587563697,995.402184443078,2393.10475120517,4.23756037010501,69.2387287512148,37.2438961668049,128.719120513421
"HER42PB",1.4,-48.38,-5.792251123,-4.145425678,-3.718779748,7.06126923636,1165.92406025121,751.949551824683,1807.80600370598,4.45040896513369,85.6619695984375,46.0780484955428,159.250950833854
"HER42PB",1.5,-47.34,-5.573978952,-4.341018611,-3.447850296,7.20969431264,1352.47876851259,872.26590350688,2097.06559883077,4.51764286453516,91.6193839562057,49.2825747161294,170.326156148806
"HER42PB",1.6,-46.29,-5.608298946,-4.308107284,-3.352805461,7.18635671672,1321.2806263163,852.145014126483,2048.69178900068,4.55202759762105,94.8244794165494,51.0066133384827,176.28462875883
"HER42PB",1.7,-45.25,-5.679817028,-4.445072565,-3.526360525,7.13772442096,1258.56117262173,811.694810975039,1951.4430840432,4.62043197833779,101.537884823866,54.6177913370588,188.765268644418
"HER42PB",1.8,-44.2,-5.326018362,-4.203191815,-3.436278484,7.37830751384,1600.87800979793,1032.46818813755,2482.21730383539,4.28697813692956,72.7463066401265,39.1306417649369,135.239926847334
"HER42PB",1.9,-43.16,-5.897840445,-3.992204195,-3.560345537,6.9894684974,1085.14456572674,699.851729354823,1682.55457425506,4.48343494688117,88.5382752201632,47.6252292403607,164.598182601882
"HER42PB",2,-42.11,-4.52025545,-4.649004433,-4.086122447,7.926226294,2768.95783074671,1785.80807347162,4293.36588984536,3.88570435393147,48.701233286766,26.1966634633775,90.5386339358732
"HER42PB",2.1,-41.07,-5.760692541,-4.561275553,-3.847788689,7.08272907212,1191.21499819606,768.26065655371,1847.02048689126,4.63317420308192,102.839981559168,55.3181963919083,191.185947787642
"HER42PB",2.3,-38.98,-5.977838804,-4.420396186,-3.747107814,6.93506961328,1027.69079046081,662.797566022317,1593.47048773322,4.72909666987588,113.193265265236,60.8872851127568,210.433348730827
