"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,1.32909090909091,-2.98103715973509,-0.767578791661458,-2.34588420177402,-1.94656024290338,4.15532400618554,-0.803575425408757,0.703849505569334,-0.25161032652718,-3.18506235260846,-2.78558991011846,-2.32179753288151,2.22545399628247,6.11298118482811,4.19108725075286,0.146376584727273,9.83130436181006,15.8113883008419,17.9058141903177,11.5695525174721,835.921929804018,58.9108725880962,26.4616360382003,47.1826239202527,18.1548891486563,39.5495086741117,47.4027233586656,126.043066233151,1611.55856802718,191.840606186016,0.00388698448403857,87.49,4.37,12.51,1.25,0.107,0.01,3631,41,1782,521,1557,24,135,2,34,0,13959,177,0.74,0.01,2.47,0.02,4.37,0.02,22.91,0.06,1.59,0.01,2.29,0.01,26.59,0.46,2.9,0.09,1.44,0.01,0.19,0.004950768
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,1.32166666666667,-2.75592168906363,-0.894428332532572,-2.50227831833464,-1.16327089061904,3.90878939193416,-0.414430660480748,0.849372726097798,-0.118906828557777,-3.92221383724044,-1.94086195135147,-3.50718819484339,2.17789346435139,6.10397446463339,4.17947065600695,0.145989151583333,8.97935342208936,12.12404322998,12.8263459923375,18.9560896108172,710.068557296129,41.3047616302689,34.793220342736,46.7555700781557,0,72.0914822859249,7.21687836487032,114.744379937637,654.357300924141,185.387779499833,0.00361351532498803,89.51,4.48,10.49,1.05,0.176,0.02,2188,58,1331,523,1398,17,80,1,28,0,9356,27,0.76,0,2.99,0.02,3.26,0.01,12.51,0.17,1.33,0.02,1.53,0.01,25.05,0.19,2.11,0.04,2.37,0.02,0.11,0.000588647
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,1.29166666666667,-2.50514814934914,-0.231118570303328,-1.88855062279972,-2.10058977497618,2.82080103005757,-1.63347957648134,1.01659989920013,-0.405780056676609,-3.16626988241932,-2.63646217213006,-2.74533740710062,2.58443710554307,6.41467556482952,4.47622261260603,0.143955505083333,8.55817879238476,15.8200103436353,7.78693544575551,12.287897470374,185.344887366033,34.6579607366654,24.6002894784643,53.7623136001081,12.7017059221718,44.5593747575959,24.8344518763753,127.663976552083,1322.15401615101,252.644378164609,0.00301099939000146,86.38,4.32,13.62,1.36,0.145,0.01,2539,60,1545,590,2547,33,341,5,37,0,3942,49,1.75,0,3.56,0.01,5.83,0.02,13.95,0.04,1.74,0.03,4.4,0.05,46.4,0.52,6.43,0.08,1.82,0.01,0.39,0.002705738
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,1.33,-3.16768959284922,-0.386396844288942,-1.84893818651003,-1.89632969286202,2.10387080496908,-1.80874692349829,0.108090450228588,-0.875523249821299,-1.08609642705162,-1.86475887959706,0.283182208526952,1.52460140142263,5.41266796441758,3.50206696691365,0.148022999166667,9.2080333832952,20.7822403785423,13.7408371673856,8.63923397277581,127.306448454828,34.2234192365758,17.3065060458531,47.7768645672651,60.6247149321633,79.603943864534,60.5436857053473,91.0595459525848,1078.14945273104,98.4065084691603,0.00320273418525427,80.34,4.02,19.66,1.97,0.214,0.02,6655,134,4972,1374,6362,96,1071,11,60,0,4568,28,1.17,0.01,7.05,0.06,18.81,0.18,83.11,1.2,4.8,0.05,19.01,0.11,121.96,0.84,35.64,0.68,5.7,0.05,2.21,0.022103189
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-2.74064100898686,-0.302412590156198,-1.41893039363365,-1.96497955503949,3.30091060207756,-0.773030156016006,-0.331505887724262,-0.828806927773318,-1.47297916233904,-2.51570687307001,0.126757140982421,0.990172414840892,4.88109810342691,3.05005429341106,0.1602627916,22.6374812104959,27.9087799805008,27.378215184096,17.5337769272149,1003.56288071827,53.0236844354588,38.5544348220078,51.6682795447179,26.9132350753718,37.4492248844278,106.557444080125,107.025230670156,967.395592988377,126.323218592449,0.00242683010150897,78.21,3.91,21.79,2.18,0.304,0.03,3727,91,16457,3981,8442,102,1963,30,148,0,18556,33,14.99,0.05,9.84,0.04,25.4,0.09,90.06,0.83,7.18,0.06,43.17,0.83,150.56,2.59,40.91,0.92,4.94,0.07,4.04,0.032130391
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,1.34909090909091,-3.15606776617078,-0.062600473885565,-1.81133849040097,-1.74950326888188,4.06544465656571,0.323763739982119,0.211139681259287,-0.302331378897078,-3.04005715959588,-4.27094648291396,-0.682451987257203,1.51521494838699,5.41235149415546,3.54738248765375,0.154934023454545,8.14192293570193,21.74898116736,12.9340986965041,17.2705740284661,985.478979066433,60.4480242552528,38.944482629414,51.5014562900895,19.2216733733754,9.90224951486002,98.6679463471478,100.516032190257,1249.59765160995,167.336242881864,0.00334895066566226,80.53,4.03,19.47,1.95,0.26,0.03,3202,83,10808,2190,8468,27,1538,8,149,0,34441,174,4.79,0.04,10.02,0.1,25.1,0.2,83.32,0.68,7.88,0.07,21.08,0.09,145.21,2.4,27.74,3.95,7.41,0.1,2.2,0.011765005
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,-3.21753763526297,-0.167829958851294,-2.06170205977456,-2.44024756033871,3.13064495343902,-0.487779104336839,-0.297864024283879,-0.739098520023771,-0.11493732274581,-3.01276149359839,0.213719165959814,1.07951737989123,4.98690962946099,3.12896655046518,0.1560056543,7.57261146794449,30.2397824801113,14.8264028753512,16.0069429380573,1156.0035370957,73.9541149031689,38.7792900055343,30.1101680869141,53.0509189364331,51.6041557327401,85.4375015240185,126.178709244732,801.708654479086,145.314257157835,0.00207374814577925,73.72,3.69,26.28,2.63,0.351,0.04,1395,24,66669,13007,10818,94,3007,14,499,6,25854,38,6.38,0.02,9.33,0.03,12.42,0.08,63.36,0.32,4.41,0.04,138.2,2.07,165.87,2.61,60.55,6.69,3.51,0.04,10.86,0.079884546
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,1.31909090909091,-3.11358067086354,0.435687655661518,-2.72157036132231,-1.54655211533585,2.08618090797972,-1.09540720866485,0.586172162986861,-0.0786720351049108,-3.91116996615977,-3.19570650663308,0.793750600658151,1.96032415129942,5.85290209972974,3.9476412857689,0.148821987636364,8.41211247925492,15.5843744588202,14.0389069763607,16.9871609271131,180.112389155418,35.16920140226,31.4304426833719,36.7190809946397,10.8544084047995,61.2360559266724,99.87519484564,95.6230287972706,298.880730240494,161.2279583244,0.00355121707675302,84.86,4.24,15.14,1.51,0.179,0.02,3385,93,2480,632,6975,68,301,4,56,1,26327,200,17.04,0.07,9.67,0.06,30.7,0.12,154.25,0.91,10.65,0.18,5.28,0.05,110.9,2.07,6.36,0.11,2.86,0.01,0.73,0.006237929
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,1.39818181818182,-3.54123151864842,0.470610207789016,-2.91636872910224,-1.30990427624507,2.04969272761868,-1.76567370590008,0.794082134883672,0.0607860909084168,-3.05417889768617,-2.70351764097836,-0.364787396906295,2.13492106403208,6.03093087751692,4.11463906271786,0.147191485818182,7.75183262789575,17.3723918905832,9.2775388585943,15.5434873821804,82.9202245315558,34.7000130992902,31.4078739403759,54.4763501647525,22.2126090318089,36.0363452894183,97.4546048168069,63.1740740839439,466.751754147748,176.817419956293,0.00357246424196973,77.63,3.88,22.37,2.24,0.277,0.03,3002,50,23399,3611,7326,350,1904,93,236,14,20545,1107,5.7,0.23,6.29,1.77,12.23,0.37,56.72,1.51,5.24,0.02,58.42,1.65,153.97,1.95,31.41,0.6,6.32,0.12,4.86,0.12796856
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,1.27,-2.93486980785844,-0.17822718449002,-2.00962106610527,-1.94070622245283,2.08689642328799,-1.50208270215177,-0.494394774757677,-1.0080628502351,0.427841346383605,-1.7824915530383,0.552432146519452,0.98277649218133,4.82122033170848,2.97928942100855,0.158576433909091,20.3951865979117,43.279220292086,47.7668580427133,34.3016034610629,263.650250417963,18.1333444741499,28.7228132326901,61.3413696974859,70.3311646944136,115.234780103294,175.582925241504,100.4752343977,1545.35174577888,213.91123902642,0.00478949806078012,87.79,4.39,12.21,1.22,0.144,0.01,4341,111,868,404,5817,71,226,2,37,0,2355,10,1.55,0.01,7.64,0.08,44.62,0.15,109.06,0.74,6.93,0.1,3.56,0.04,97.81,1.18,6.26,0.14,4.71,0.01,0.62,0.00212764
